Placa,Clase,Marca,A¤o de fabricaci¢n del taxi,Categor¡a,Tipo taxi
AP-000024,Taxi Aeropuerto,Toyota,1990,Automovil,Sedan
AP-000033,Taxi Aeropuerto,Nissan,1990,Automovil,Sedan
AP-000035,Taxi Aeropuerto,Nissan,1990,Automovil,Sedan
AP-000049,Taxi Aeropuerto,Volvo,1990,Automovil,Sedan
AP-000074,Taxi Aeropuerto,Nissan,1990,Automovil,Sedan
AP-000080,Taxi Aeropuerto,Toyota,1989,Automovil,Noid
AP-000119,Taxi Aeropuerto,Toyota,1987,Automovil,Sedan
AP-000136,Taxi Aeropuerto,Nissan,1990,Automovil,Sedan
AP-000145,Taxi Aeropuerto,Toyota,1990,Automovil,Sedan
AP-000158,Taxi Aeropuerto,Lada,1985,Categoria no registrada,Sedan
AP-000160,Taxi Aeropuerto,Toyota,1990,Automovil,Noid
AP-000190,Taxi Aeropuerto,Zil,1980,Categoria no registrada,Noid
AP-000201,Taxi Aeropuerto,Toyota,1990,Automovil,Sedan
AP-000213,Taxi Aeropuerto,Toyota,1990,Automovil,Noid
AP-000216,Taxi Aeropuerto,Toyota,1990,Automovil,Sedan
AP-000229,Taxi Aeropuerto,Toyota,1986,Automovil,Noid
AP-000237,Taxi Aeropuerto,Toyota,1986,Automovil,Noid
AP-000238,Taxi Aeropuerto,Toyota,1990,Automovil,Noid
AP-000239,Taxi Aeropuerto,Nissan,1990,Automovil,Sedan
AP-000612,Taxi Aeropuerto,Marca no registrada,0,Categoria no registrada,Noid
AP-001123,Taxi Aeropuerto,Marca no registrada,0,Categoria no registrada,Noid
TAP-000002,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000003,Taxi Aeropuerto,Toyota,2014,Microbus,Microbus
TAP-000004,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000005,Taxi Aeropuerto,Nissan,2014,Microbus,Microbus
TAP-000006,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
TAP-000007,Taxi Aeropuerto,Toyota,2014,Automovil,Microbus
TAP-000008,Taxi Aeropuerto,Toyota,2014,Automovil,Sedan
